station_id,n_pairs,rmse_mm,mae_mm,bias_mm,correlation,reference_offset_mm,uncertainty_coverage_1sigma,longitude,latitude
CRBT,2,18.30779352500378,18.30779352500378,7.105427357601002e-15,-1.0,-100.42988237944279,,-120.7508,35.7916
JLN5,2,17.070471794333166,17.070471794333166,1.7763568394002505e-15,-0.9999999999999999,6.6726622767549735,,-120.8329,35.8732
LOWS,2,17.818169642093245,17.818169642093245,-7.105427357601002e-15,-1.0,-85.97948746478167,,-120.5943,35.8287
P284,2,18.680522426154933,18.680522426154933,-3.552713678800501e-15,1.0,-86.87327383629761,,-120.9068,35.9333
P285,2,16.43166800976321,16.43166800976321,0.0,1.0,-19.602871025919335,,-120.98150000000001,36.4172
