date,insar_los_mm,gnss_los_mm,residual_mm,gnss_los_sigma_mm
2018-01-02,-103.88708690597733,-68.07520521675077,-35.81188168922655,2.783457069666714
2018-02-07,-86.46917919113358,-67.13712984403085,-19.332049347102725,2.8832397499889955
2018-03-03,-62.047487296602334,-67.36238568552527,5.314898388922934,2.7791808701640397
2018-03-15,-25.534052780543306,-71.28913322366198,45.75508044311867,2.899301484699212
2018-04-08,-72.77653528379851,-71.98564827479676,-0.7908870090017501,2.716502317779163
2018-04-20,-95.05394345979678,-72.51045918222343,-22.543484277573356,2.677083249073784
2018-06-07,-74.42562361353755,-55.18358554605376,-19.24203806748379,2.7820767601380783
2018-07-01,-16.51144603683671,-51.54538045229755,35.03393441546084,2.837450908420228
2018-07-13,-24.23324101296518,-51.25205032849454,27.01880931552936,2.835428362780442
2018-08-06,-93.26145960020476,-49.4147541339633,-43.84670546624146,2.9063631151241354
2018-11-22,-50.61809797877193,-48.301754718273834,-2.316343260498094,2.763938569025097
2019-02-14,-14.467192157713441,-45.22785871180946,30.76066655409602,2.951974302790949
