date,insar_los_mm,gnss_los_mm,residual_mm,gnss_los_sigma_mm
2018-01-02,41.97400623313084,69.45619592210325,-27.48218968897241,2.372618394631548
2018-02-07,66.8254873529225,65.07886918212998,1.746618170792516,2.540194140467973
2018-03-03,52.783162862905144,69.94162471399733,-17.158461851092184,2.4045440075783135
2018-03-15,78.83632660327515,69.17665148130061,9.659675121974544,2.3480102260708144
2018-04-08,33.40026220101278,68.26923108022783,-34.868968879215046,2.248541185616949
2018-04-20,47.182339566464165,68.00765222490526,-20.825312658441092,2.238015936525949
2018-06-07,78.55042299050253,77.32496326578604,1.2254597247164867,2.4068074611337305
2018-07-01,126.8632062317745,83.76357299629257,43.09963323548193,2.449047722998535
2018-07-13,119.76119359749715,83.98728452865774,35.773909068839416,2.4490649528846915
2018-08-06,76.92679246682088,86.53094314263939,-9.604150675818502,2.364863609130034
2018-11-22,86.61940177697103,85.6757823413988,0.9436194355722307,2.3264203206233574
2019-02-14,104.33741887825887,86.84724988209685,17.490168996162026,2.5294026064456876
