date,insar_los_mm,gnss_los_mm,residual_mm,gnss_los_sigma_mm
2018-01-02,-49.946883853216356,nan,nan,nan
2018-02-07,5.522417158610903,-19.597018640290543,25.119435798901446,2.6304974443765725
2018-03-03,-20.349283552109583,-15.926347608002903,-4.42293594410668,2.535671179620271
2018-03-15,9.972685374214201,-19.541069065621603,29.513754439835804,2.7200243481064557
2018-04-08,-33.02827762491775,-17.62540351968917,-15.40287410522858,2.534842691952305
2018-04-20,-18.073233832193136,-19.25765539565054,1.1844215634574056,2.6100181632241424
2018-06-07,-16.048709297451097,-10.278065463692691,-5.770643833758406,2.5097440949906926
2018-07-01,-3.781430790099222,-4.957510340106671,1.176079550007449,2.5599853412520037
2018-07-13,-2.5743771287527863,-3.1403378112173264,0.56596068246454,2.550046444458853
2018-08-06,-18.238321313532907,-1.012318721476415,-17.226002592056492,2.578454351584616
2018-11-22,-19.704990455779154,-3.421954239696551,-16.283036216082603,2.6267913023451803
2019-02-14,2.2950243261727508,0.749183669606659,1.5458406565660918,4.659829269461613
