date,insar_los_mm,gnss_los_mm,residual_mm,gnss_los_sigma_mm
2018-01-02,54.01169364657255,79.4023228336464,-25.39062918707384,2.5339853334320375
2018-02-07,66.36029255065242,78.89361793586797,-12.533325385215548,2.681834119565913
2018-03-03,69.0187126895413,80.45996029459845,-11.441247605057143,2.492406592659363
2018-03-15,105.9144646426663,78.29377897522362,27.620685667442686,2.537542427956764
2018-04-08,99.52050220641414,76.4174883074432,23.103013898970943,2.4541481871117576
2018-04-20,65.06880559861249,79.44668859246958,-14.3778829938571,2.449848182949347
2018-06-07,73.35814275681561,91.58327804065647,-18.225135283840856,2.446501965821566
2018-07-01,124.43185288051353,94.37899037419578,30.05286250631775,2.467067013114475
2018-07-13,112.70102300583905,94.21516515334689,18.48585785249216,2.4537351887129932
2018-08-06,59.05175644496665,98.85677983715439,-39.80502339218774,2.543770807098101
2018-11-22,110.1744218502401,95.74126787393317,14.433153976306926,2.4506036203917234
2019-02-14,113.83080917934166,105.75313923363991,8.077669945701743,2.672269128896235
