date,insar_los_mm,gnss_los_mm,residual_mm,gnss_los_sigma_mm
2018-01-02,-98.23215567084682,nan,nan,nan
2018-02-07,-65.27126394721401,-48.40218490659161,-16.869079040622402,2.553646742118813
2018-03-03,-67.91294180365932,-46.03911044422657,-21.87383135943275,2.264266414428563
2018-03-15,-46.499138703073385,-45.831690468805405,-0.6674482342679795,2.3192337944089902
2018-04-08,-89.63382803412807,-46.3225002697482,-43.311327764379875,2.227768165441266
2018-04-20,-57.41298758002651,-46.889390822569005,-10.523596757457504,2.1223205634551663
2018-06-07,-55.28915487738979,-32.13813006107293,-23.151024816316863,2.4038394258621443
2018-07-01,11.421317229543803,-32.034941974601416,43.45625920414522,2.406104794355185
2018-07-13,6.204718718801615,-30.894926947959235,37.09964566676085,2.4222072398858767
2018-08-06,-29.917603363717916,-31.53895196045969,1.6213485967417753,2.3628402494138725
2018-11-22,-23.57996069404018,-31.91624780343503,8.33628710939485,2.4129962532511895
2019-02-14,-1.6230400702608847,-27.505807465695586,25.8827673954347,2.5667287085519974
