date,insar_los_mm,gnss_los_mm,residual_mm,gnss_los_sigma_mm
2018-01-02,13.083850557524237,41.9309185467285,-28.847067989204263,2.208897133291639
2018-02-07,38.7381135241041,43.2957838674325,-4.557670343328397,2.2905152728083555
2018-03-03,49.40219244849511,44.00974499305698,5.3924474554381305,2.2224541907627167
2018-03-15,78.3711226929409,43.2300599015571,35.1410627913838,2.3029366705303036
2018-04-08,43.49272305593054,45.22978939304566,-1.7370663371151167,2.2120416468069584
2018-04-20,30.025768824668337,41.11568162810934,-11.089912803441006,2.0987270548470964
2018-06-07,33.15175428812862,50.83173974185949,-17.679985453730865,2.2511720077795503
2018-07-01,93.35959806864619,58.107378287638355,35.25221978100784,2.332218011606973
2018-07-13,91.44175901835322,55.67150265470161,35.77025636365161,2.26805755361035
2018-08-06,22.977479843548544,63.10698255079787,-40.12950270724933,2.2476083555354167
2018-11-22,52.16502502386928,63.69939382904646,-11.534368805177174,2.274670961206313
2019-02-14,69.8167170566833,65.79712900891853,4.0195880477647705,2.366114243044641
